# Event_ID epsilon2 phi2
0 0.204541 0.346812
1 0.244846 -0.627072
2 0.314770 -1.495830
3 0.617701 -0.242184
4 0.766358 0.497281
5 0.297563 -1.253670
6 0.601299 -1.323000
7 0.803535 -0.305998
8 0.890621 0.992530
9 0.301462 0.967493
10 0.186001 -0.455373
11 0.582789 0.626773
12 0.786227 -0.645196
13 0.216139 0.070900
14 0.304250 -0.213349
15 0.532610 -0.326504
16 0.515206 0.303967
17 0.498924 -0.949418
18 0.305365 -0.390420
19 0.451706 -0.009927
20 0.480677 1.519780
21 0.331740 -1.257540
22 0.237699 -0.411598
23 0.397880 1.431390
24 0.315100 1.329930
25 0.251800 -0.173726
26 0.200506 0.738394
29 0.421695 -1.468080
30 0.269881 -0.646802
31 0.222024 -1.503340
32 0.369606 -1.369400
33 0.136570 -0.489144
34 0.390549 0.078185
35 0.335069 -0.098049
36 0.418610 1.049610
37 0.159604 -1.271920
38 0.320405 0.886043
39 0.468660 1.534420
41 0.908600 0.830451
42 0.517378 1.141130
43 0.031409 0.419455
44 0.770172 0.180570
45 0.750484 -1.255160
46 0.585254 0.726189
47 0.418789 1.372810
48 0.517480 -1.007050
49 0.822836 -0.764045
50 0.083297 0.697184
51 0.690368 1.469050
52 0.290636 1.197540
53 0.437497 -1.166790
54 0.367985 0.159815
55 0.315447 0.207660
56 0.077472 0.884303
58 0.488007 1.535450
59 0.783445 0.413579
60 0.232768 -0.162029
61 0.739525 -0.555092
62 0.047243 -0.716148
63 0.170269 0.061271
64 0.493599 0.642834
65 0.512730 0.295821
66 0.317436 0.041217
67 0.419602 -0.787350
68 0.823367 -0.425452
69 0.202102 0.636065
70 0.443514 -1.197090
71 0.538444 0.609600
72 0.296784 -0.059085
73 0.103139 0.119194
74 0.617974 -1.301070
75 0.108695 0.513875
76 0.350452 1.048820
77 0.581559 0.602671
78 0.512148 0.622438
79 0.847355 1.524830
80 0.464015 0.750574
81 0.069665 1.236490
82 0.484167 -1.086810
83 0.400332 -1.255840
84 0.630214 0.126294
85 0.068253 -1.171570
86 0.446424 0.022972
87 0.210586 0.530233
88 0.028852 0.686813
89 0.232321 -0.152651
90 0.651025 1.520290
91 0.441058 -0.527394
92 0.225779 -1.207860
93 0.476080 1.534500
94 0.865898 1.385470
95 0.372879 0.818969
96 0.424697 1.461900
97 0.757124 -0.420359
98 0.407501 0.991517
99 0.614759 -0.258643
100 0.252661 -1.456260
101 0.209105 -0.705162
102 0.370413 -1.338860
103 0.392688 0.108370
104 0.295840 1.163780
106 0.221777 -0.725429
107 0.255145 -1.432800
108 0.489811 1.326530
109 0.671913 0.624305
110 0.329041 -0.055075
111 0.754960 -1.335110
112 0.417072 -0.979724
113 0.615189 1.486560
114 0.448642 0.361288
115 0.272350 1.333030
116 0.359685 0.587863
117 0.371378 0.188448
118 0.651851 1.354870
119 0.325538 -1.042340
121 0.810610 -0.010749
122 0.054471 0.887787
123 0.675716 -0.455173
124 0.387317 0.632010
125 0.222383 0.231979
126 0.072827 0.707266
127 0.498952 0.144631
128 0.282437 -0.607223
129 0.683872 -0.948676
130 0.470680 -0.742746
131 0.640769 -1.219720
132 0.503047 -0.745183
133 0.186699 0.394900
134 0.439932 0.198882
136 0.194967 -1.047520
137 0.698623 0.187960
138 0.155126 0.730889
139 0.426674 1.019380
140 0.362899 0.665760
141 0.077904 1.165900
142 0.727733 -0.699777
143 0.423053 -0.454929
144 0.147891 -0.288379
145 0.014138 0.688477
146 0.494195 -0.842493
147 0.429919 -1.535040
148 0.204393 -0.633236
150 0.681754 -0.828932
151 0.170012 0.688969
152 0.268853 0.991955
153 0.357266 -0.642821
154 0.091150 1.122570
155 0.286046 0.401012
156 0.256238 -0.702154
157 0.636226 0.014315
158 0.285242 -0.621351
159 0.268476 -0.440439
160 0.728968 -1.312430
161 0.418940 1.126460
163 0.607238 0.709512
164 0.099972 -1.294820
165 0.280254 -1.177580
166 0.241211 0.717145
167 0.426690 -0.936141
168 0.680647 -0.974540
169 0.147931 -0.099054
170 0.078301 0.273830
171 0.691588 1.164090
172 0.338962 -1.369600
173 0.389898 -0.711185
174 0.361626 1.550440
175 0.534448 -1.457450
176 0.462554 -1.178760
177 0.095627 -1.116600
178 0.615286 -1.112930
179 0.361329 0.889838
180 0.664871 -0.424174
181 0.869778 0.397919
182 0.256048 -1.408680
183 0.125277 -1.439100
184 0.225084 0.792308
185 0.165264 1.135710
186 0.157476 -0.535010
187 0.616750 1.346510
188 0.092155 0.882277
189 0.686086 0.910206
190 0.393142 -1.307210
191 0.065491 0.377466
192 0.452590 0.787933
193 0.705744 -1.397470
194 0.413190 -1.398100
195 0.112814 0.041924
196 0.484999 1.525160
197 0.882362 0.630534
198 0.280696 0.594643
199 0.347373 1.004980
200 0.078668 -0.461872
201 0.912105 -0.983533
202 0.503306 0.897625
203 0.635021 0.605825
204 0.262564 0.291396
205 0.385057 -0.519238
206 0.323335 0.541110
207 0.279214 0.307048
208 0.938638 -0.831473
209 0.591825 0.183272
210 0.834948 0.170962
211 0.342295 1.025230
212 0.113540 -0.762125
213 0.391686 -0.465817
214 0.671363 0.620234
215 0.846097 -0.851796
216 0.560627 0.460647
217 0.627973 -0.231299
218 0.628459 0.830750
219 0.535885 -0.671762
220 0.480281 1.196990
221 0.169257 0.905243
222 0.179243 1.430520
223 0.503976 1.272090
224 0.719724 -0.459398
225 0.584779 -0.915562
226 0.525884 -1.420640
227 0.531262 0.156614
228 0.594991 0.093573
229 0.877156 -0.445728
230 0.584936 -0.105424
231 0.471802 -1.534590
232 0.144246 0.615997
233 0.647825 0.248094
234 0.062553 -0.264590
235 0.272408 -0.390284
236 0.348889 0.581184
237 0.108237 0.574790
238 0.241919 -0.074510
239 0.265836 -1.453790
240 0.815086 -0.690578
241 0.850754 0.096406
242 0.754914 0.695887
243 0.399963 1.000450
244 0.469128 -0.702807
246 0.190133 -0.376308
248 0.615116 -0.207089
249 0.279664 0.055401
250 0.201775 0.658008
251 0.520642 -1.252960
252 0.211052 -1.496680
253 0.757879 0.752545
254 0.401277 -0.865502
255 0.186927 1.017010
257 0.558668 -0.583567
258 0.869338 0.294951
259 0.536561 -0.168172
260 0.610592 -0.364130
261 0.771877 -0.684915
262 0.644467 -0.559174
263 0.518495 0.157581
264 0.690152 0.085393
265 0.315862 -0.756570
266 0.309341 1.070980
267 0.668197 -1.301100
268 0.350693 -0.960958
269 0.202137 0.399795
270 0.718226 -0.383062
271 0.815481 -0.487226
272 0.727131 -0.902048
273 0.134217 0.735464
274 0.705538 -0.889839
275 0.603643 -0.117998
276 0.308825 -0.708910
277 0.196238 0.391346
278 0.463300 1.323160
279 0.602316 0.367780
280 0.127505 -0.923513
281 0.635445 -1.354680
282 0.230236 0.471699
283 0.162072 -1.038470
284 0.343481 -1.244710
285 0.363797 -1.432060
286 0.918479 -0.994736
287 0.323965 -0.519916
288 0.291237 -1.210290
289 0.265797 0.494231
290 0.111099 1.063200
291 0.637894 -0.893563
293 0.457681 0.790708
294 0.491308 0.237663
295 0.392666 1.258880
296 0.698460 1.172680
297 0.100667 -0.534321
298 0.386864 1.442920
299 0.349544 0.319307
300 0.168583 -0.484911
301 0.344443 -0.871852
302 0.355180 0.082363
304 0.723513 0.960959
305 0.419466 1.220710
306 0.832911 -0.767935
307 0.295497 0.965619
308 0.364258 1.221330
309 0.052518 0.187466
310 0.279854 -0.758623
311 0.240653 -0.579105
312 0.084683 0.950817
313 0.213966 0.524712
314 0.450298 0.728842
315 0.388474 0.722081
316 0.823973 -1.034690
317 0.830389 0.017694
318 0.307362 0.944033
319 0.553877 -0.665874
320 0.534657 -1.563120
321 0.564976 -0.976818
322 0.340440 -0.629793
323 0.177669 1.284470
